,homoloid,mouse,human
1,42545049,0610010K14Rik,C17orf49
2,42534010,0610012G03Rik,NCBP2AS2
3,42534649,0610030E20Rik,C2orf68
4,42551273,0610040J01Rik,C4orf19
5,42534036,1110002E22Rik,C4orf54
6,42533110,1110004F10Rik,C11orf58
7,42549903,1110017D15Rik,C9orf24
8,42553990,1110025L11Rik,KRTAP6-3
9,42552835,1110032F04Rik,C3orf80
10,42534609,1110038F14Rik,C8orf33
11,42551171,1110057P08Rik,KRTAP20-2
12,42532361,1110059E24Rik,C9orf85
13,42541214,1110059G10Rik,KIAA1143
14,42551682,1110065P20Rik,C1orf122
15,42549875,1190005I06Rik,C16orf74
16,42534761,1500009L16Rik,C12orf75
17,42534144,1600012H06Rik,C6orf120
18,42533230,1600014C10Rik,C19orf12
19,42552808,1700001O22Rik,C9orf50
20,42551264,1700001P01Rik,C17orf98
21,42552988,1700003E16Rik,C2orf81
22,42550516,1700003F12Rik,C20orf144
23,42554067,1700008O03Rik,C19orf81
24,42551476,1700010I14Rik,C6orf118
25,42551370,1700011L22Rik,C4orf51
26,42551690,1700012B09Rik,C11orf97
27,42553318,1700014D04Rik,SPATA31D1
28,42551875,1700015G11Rik,CCDC179
29,42552021,1700016C15Rik,C1orf100
30,42553045,1700016H13Rik,C4orf36
31,42535415,1700016K19Rik,C17orf97
32,42533515,1700017B05Rik,C15orf39
33,42551381,1700017N19Rik,C12orf50
34,42551138,1700018B08Rik,C16orf95
35,42535872,1700019D03Rik,C2orf88
36,42551469,1700019N19Rik,C10orf82
37,42549250,1700020A23Rik,C20orf141
38,42551486,1700020L24Rik,C17orf50
39,42552414,1700021F07Rik,C20orf85
40,42552383,1700022I11Rik,C9orf131
41,42534145,1700024G13Rik,C10orf53
42,42533731,1700025G04Rik,C1orf21
43,42544999,1700028K03Rik,C1orf146
44,42551388,1700029H14Rik,C13orf46
45,42532928,1700029J07Rik,C4orf47
46,42545846,1700030J22Rik,C16orf46
47,42533853,1700030K09Rik,C19orf44
48,42553942,1700031M16Rik,C12orf54
49,42552611,1700034J05Rik,C12orf71
50,42550990,1700037C18Rik,C16orf90
51,42533666,1700037H04Rik,C20orf27
52,42534358,1700066M21Rik,C2orf69
53,42534549,1700067K01Rik,C19orf67
54,42553196,1700086L19Rik,LINC00643
55,42532855,1700088E04Rik,C22orf23
56,42551981,1700093K21Rik,C2orf74
57,42551441,1700102P08Rik,C3orf62
58,42550315,1700113H08Rik,C12orf42
59,42547648,1700123O20Rik,C14orf119
60,42552032,1810009A15Rik,C11orf98
61,42552309,1810010H24Rik,C17orf58
62,42534192,1810030O07Rik,CXorf38
63,42552650,1810037I17Rik,C4orf3
64,42533071,1810055G02Rik,C11orf24
65,42551403,2010003K11Rik,C11orf86
66,42551965,2200002D01Rik,C19orf33
67,42533934,2210016F16Rik,C9orf64
68,42532829,2210016L21Rik,C12orf43
69,42542776,2210408I21Rik,KIAA0825
70,42554059,2300002M23Rik,C6orf15
71,42534060,2300009A05Rik,C15orf61
72,42534142,2310009B15Rik,C1orf53
73,42546577,2310011J03Rik,C19orf25
74,42548555,2310022A10Rik,C19orf47
75,42533956,2310022B05Rik,C1orf198
76,42547647,2310030G06Rik,C11orf52
77,42534414,2310033P09Rik,C1orf35
78,42552078,2310034C09Rik,KRTAP13-2
79,42551312,2310039H08Rik,C6orf226
80,42553076,2310046K23Rik,SPRR5
81,42551435,2310050C09Rik,C1orf68
82,42534475,2310057J18Rik,C6orf58
83,42534185,2310061I04Rik,C6orf136
84,42552425,2410002F23Rik,C19orf48
85,42532644,2410004B18Rik,C1orf52
86,42532514,2410004P03Rik,C2orf50
87,42532430,2510002D24Rik,C22orf39
88,42532891,2510009E07Rik,C3orf70
89,42538848,2510039O18Rik,KIAA2013
90,42534532,2610028H24Rik,C21orf58
91,42540803,2610528J11Rik,C1orf210
92,42553257,2700046G09Rik,SGMS1-AS1
93,42545902,2700049A03Rik,KIAA0586
94,42544879,2700062C07Rik,C18orf21
95,42533858,2810004N23Rik,C1orf131
96,42553033,2810459M11Rik,C2orf72
